1;7 DAYS 55 GR;/veliogullari/data/products/117 DAYS 55 GR.jpeg;-;5201360582518;1.14;1.23;1.75;0;0;1;45;8.00;1;7%20DAYS%2055%20GR
2;7 DAYS KAKAO KRUVASAN 55 GR;/veliogullari/data/products/117 DAYS KAKAO KRUVASAN 55 GR.jpeg;-;5201360582105;1.48;1.60;1.75;0;0;1;3;8.00;1;7%20DAYS%20KAKAO%20KRUVASAN%2055%20GR
3;7 DAYS KRUVASAN VİŞNELİ 50 GR;/veliogullari/data/products/117 DAYS KRUVASAN VİŞNELİ 50 GR.jpeg;-;5201360552511;1.48;1.60;1.75;0;0;1;80;8.00;1;7%20DAYS%20KRUVASAN%20V%C4%B0%C5%9ENEL%C4%B0%2050%20GR
4;7 DAYS MİNİ 185 GR;/veliogullari/data/products/117 DAYS MİNİ 185 GR.jpeg;-;5201360575510;3.80;4.10;5.00;0;0;1;0;8.00;1;7%20DAYS%20M%C4%B0N%C4%B0%20185%20GR
5;8X4 DEODORANT 150 ML;/veliogullari/data/products/228X4 DEODORANT 150 ML.jpeg;-;4005900197764;8.00;8.00;10.00;0;0;2;0;18.00;2;8X4%20DEODORANT%20150%20ML
6;8X4 ROLL-ON PURE 50 ML;/veliogullari/data/products/228X4 ROLL-ON PURE 50 ML.jpeg;-;42300120;8.90;8.90;12.00;0;0;2;7;18.00;2;8X4%20ROLL-ON%20PURE%2050%20ML
7;9 KAT TAT RULOKAT HİNDİSTAN CEVİZLİ 42 GR;/veliogullari/data/products/139 KAT TAT RULOKAT HİNDİSTAN CEVİZLİ 42 GR.jpeg;-;8690766086428;1.00;1.08;1.50;0;0;3;16;8.00;1;9%20KAT%20TAT%20RULOKAT%20H%C4%B0ND%C4%B0STAN%20CEV%C4%B0ZL%C4%B0%2042%20GR
8;ABANT SU 0.33 LT;/veliogullari/data/products/34ABANT SU 0.33 LT.jpeg;-;8699015750011;0.40;0.40;0.75;0;0;4;106;8.00;3;ABANT%20SU%200.33%20LT
9;ABANT SU 0.5 LT;/veliogullari/data/products/34ABANT SU 0.5 LT.jpeg;-;8699015750110;0.40;0.40;1.00;0;0;4;582;8.00;3;ABANT%20SU%200.5%20LT
10;ABANT SU 1.5 LT;/veliogullari/data/products/34ABANT SU 1.5 LT.jpeg;-;8699015750318;0.83;0.90;1.50;0;0;4;22;8.00;3;ABANT%20SU%201.5%20LT
11;ABANT SU 5 LT;/veliogullari/data/products/34ABANT SU 5 LT.jpeg;-;8699015750417;2.60;2.81;3.75;0;0;4;187;8.00;3;ABANT%20SU%205%20LT
